Unnamed: 0,iso3,country,year,hdi,life_expectancy,pop_millions,hdi_f,hdi_m,life_expec_f,life_expec_m,expec_yr_school,expec_yr_school_f,expec_yr_school_m,mean_yr_school,mean_yr_school_f,mean_yr_school_m,gross_inc_percap,gross_inc_percap_f,gross_inc_percap_m,gender_development,gender_inequality,secondary_education_f_%,secondary_education_m_%,seats_in_parliament_f_%,seats_in_parliament_m_%,labour_participation_f_%,labour_participation_m_%,co2_emission_tons,mat_footprint_percap_tons
397,BHR,Bahrain,1990,0.733,72.668,0.5174185,0.695620931,0.753959687,73.701,71.84,13.29489804,13.48758356,13.10221252,5.108272499,4.812859676,5.319875445,39137.16858,19771.21035,52856.70191,0.923,,33.69441133,31.6791456,,,28.0,89.2,22.33339389,36.3826
398,BHR,Bahrain,1991,0.727,72.764,0.535415,0.690610307,0.746660241,73.599,72.05,12.49958038,12.91444016,12.13296032,5.387740135,5.024159908,5.633299828,38598.50737,19464.29198,52155.94235,0.925,,35.70000076,35.22806168,,,29.24,88.23,21.27545922,41.9695
399,BHR,Bahrain,1992,0.727,72.953,0.55447,0.693200857,0.744530094,73.995,72.112,11.75183964,12.5752697,11.23540974,5.68249712,5.24473691,5.965189838,42416.39005,20247.02977,58090.04901,0.931,,37.82496872,39.17455177,,,29.7,88.9,18.92347647,35.9813
400,BHR,Bahrain,1993,0.732,73.375,0.5737555,0.696611455,0.748848332,74.352,72.578,11.5489397,12.38325977,10.86590958,5.977254105,5.465313911,6.297079849,44239.02663,20679.37103,60859.14952,0.93,,39.94993668,43.12104187,,,30.4,88.6,29.35050675,38.1137
401,BHR,Bahrain,1994,0.732,73.517,0.593254,0.696028635,0.748250099,74.702,72.596,11.29162979,12.16362953,10.59422016,6.272011089,5.685890913,6.62896986,41633.74867,19444.60581,57253.52125,0.93,,42.07490463,47.06753197,,,31.1,88.3,24.34539,33.7625
402,BHR,Bahrain,1995,0.737,73.799,0.612934,0.688961675,0.755922247,75.111,72.802,11.17031956,12.01840973,10.50349045,6.566768074,5.906467915,6.960859871,42316.54989,15443.9691,61194.28001,0.911,,44.19987259,51.01402206,,,31.7,88.0,24.18384361,25.8235
403,BHR,Bahrain,1996,0.742,74.355,0.632756,0.695183505,0.760776804,75.963,73.182,11.00928974,11.84370995,10.33917046,6.861525059,6.127044916,7.292749882,42547.12886,15936.26845,61204.57826,0.914,,46.32484055,54.96051216,,,32.4,87.7,25.31560349,25.9083
404,BHR,Bahrain,1997,0.747,74.535,0.6526425,0.700531347,0.764906284,76.367,73.233,11.06060664,11.92431323,10.36521022,7.156282043,6.347621918,7.624639893,40988.27681,15746.40089,58652.99124,0.916,,48.4498085,58.90700226,,,33.1,87.5,26.49059287,24.0553
405,BHR,Bahrain,1998,0.753,74.641,0.6724835,0.720433178,0.768861739,76.636,73.245,11.11192354,12.00491651,10.39124997,7.451039028,6.568198919,7.956529903,42114.69975,21709.59491,56368.66146,0.937,,50.57477646,62.85349236,,,33.7,87.2,27.31128176,23.694
406,BHR,Bahrain,1999,0.761,74.98,0.6921325,0.723827132,0.777616638,76.716,73.735,11.16324043,12.08551979,10.41728973,7.745796013,6.788775921,8.288419914,42802.19131,21181.11479,57876.58125,0.931,,52.69974442,66.79998245,,,34.4,86.9,26.4613882,22.4249
